game_id	date	home_team	away_team	home_dc_attack	home_dc_defense	away_dc_attack	away_dc_defense	dc_lambda_home	dc_lambda_away	dc_expected_total	dc_home_edge	dc_fit_n_games	dc_halflife	dc_window_days	dc_min_games	dc_l2_penalty
634574	2021-04-14	Minnesota Twins	Boston Red Sox	0.16958655632292108	0.5308077416001661	0.42734443818753765	-0.04848502957103476	5.309	3.605	8.914	1.703	161	60.0	365	100	0.05
634581	2021-04-14	Atlanta Braves	Miami Marlins	-0.0754256236004151	-0.7901307944645278	-0.3722433969720676	-0.10086105209878567	4.379	6.073	10.451	-1.694	161	60.0	365	100	0.05
634582	2021-04-14	San Francisco Giants	Cincinnati Reds	-0.29247137636717696	0.5661123992044516	0.3307993245357719	-0.14158419766896455	3.671	3.16	6.831	0.511	161	60.0	365	100	0.05
634614	2021-04-14	Los Angeles Dodgers	Colorado Rockies	0.036594119578905196	0.43684382995588633	0.30560319354544974	-0.2861454805307503	5.894	3.507	9.401	2.388	161	60.0	365	100	0.05
634472	2021-04-15	Baltimore Orioles	Seattle Mariners	0.17482836366289267	0.12829156398159272	0.5448910255154914	-0.2239946244883028	6.324	5.946	12.27	0.378	175	60.0	365	100	0.05
634475	2021-04-15	Kansas City Royals	Toronto Blue Jays	0.3040004918616358	0.12219402675210449	0.16420602681650953	0.3250681819877057	4.156	4.088	8.244	0.067	175	60.0	365	100	0.05
634481	2021-04-15	Washington Nationals	Arizona Diamondbacks	-0.47988219267017745	-0.08705724821560343	0.0	-0.1904244606345609	3.177	4.277	7.454	-1.099	175	60.0	365	100	0.05
634501	2021-04-15	Chicago White Sox	Cleveland Indians	0.33586760604538396	0.4643511571370035	-0.12321288201786941	0.7012638974215202	2.945	2.178	5.123	0.767	175	60.0	365	100	0.05
634522	2021-04-15	Tampa Bay Rays	Texas Rangers	-0.034786558375958405	-0.18125977757443848	0.11067229566606258	-0.02244682328443775	4.192	5.249	9.441	-1.057	175	60.0	365	100	0.05
634547	2021-04-15	Los Angeles Dodgers	Colorado Rockies	0.06196653830707364	0.44071439773676835	0.2594778734559246	-0.2537851437614262	5.82	3.27	9.09	2.55	175	60.0	365	100	0.05
634554	2021-04-15	Minnesota Twins	Boston Red Sox	0.08553755793324373	0.4340760597954038	0.49801951981739967	0.13628815451795992	4.034	4.179	8.213	-0.145	175	60.0	365	100	0.05
634571	2021-04-15	Baltimore Orioles	Seattle Mariners	0.17482836366289267	0.12829156398159272	0.5448910255154914	-0.2239946244883028	6.324	5.946	12.27	0.378	175	60.0	365	100	0.05
634579	2021-04-15	Atlanta Braves	Miami Marlins	-0.015109799192994773	-0.7422333625519715	-0.3269460967742117	-0.11976409508810425	4.712	5.938	10.65	-1.226	175	60.0	365	100	0.05
634621	2021-04-15	Pittsburgh Pirates	San Diego Padres	0.039328593110996846	-0.40731958588566164	-0.14522887173677657	0.3087318535285219	3.242	5.095	8.336	-1.853	175	60.0	365	100	0.05
634632	2021-04-15	Oakland Athletics	Detroit Tigers	0.190566498430934	-0.4504537404332569	0.5040534129232707	-0.29552464400968975	6.901	10.182	17.082	-3.281	175	60.0	365	100	0.05
634463	2021-04-16	Texas Rangers	Baltimore Orioles	-0.09082659798857862	-0.019589406130768892	-0.2087097314192803	0.16306336478442476	4.0	3.991	7.99	0.009	186	60.0	365	100	0.05
634464	2021-04-16	New York Yankees	Tampa Bay Rays	-0.12744780219964838	0.11708144074075917	-0.2869014002020729	-0.20070177901019728	5.548	3.219	8.767	2.328	186	60.0	365	100	0.05
634469	2021-04-16	Washington Nationals	Arizona Diamondbacks	-0.5807806186460303	-0.19759899901313013	0.0	-0.2507885948421768	3.707	5.875	9.582	-2.168	186	60.0	365	100	0.05
634474	2021-04-16	Philadelphia Phillies	St. Louis Cardinals	-0.8975367861206375	-0.11131965722208363	-0.1284612724780646	-0.31553221389084946	2.881	4.74	7.621	-1.859	186	60.0	365	100	0.05
634482	2021-04-16	Cincinnati Reds	Cleveland Indians	0.013433116347523038	-0.07729486026685338	-0.2888217381450406	0.6803703273453608	2.646	3.902	6.549	-1.256	186	60.0	365	100	0.05
634483	2021-04-16	Milwaukee Brewers	Pittsburgh Pirates	-0.10756357128531753	-0.004952147595321884	-0.10194587262271777	-0.4901925855593425	7.559	4.376	11.935	3.183	186	60.0	365	100	0.05
634517	2021-04-16	Seattle Mariners	Houston Astros	0.21311177569446438	-0.11704275034561681	-0.18756908558277588	0.17503331921749374	5.356	4.493	9.849	0.863	186	60.0	365	100	0.05
634519	2021-04-16	Miami Marlins	San Francisco Giants	-0.4955633119995241	-0.2004079947356564	-0.39788461991375035	0.5461440313794765	1.819	3.958	5.777	-2.138	186	60.0	365	100	0.05
634525	2021-04-16	Oakland Athletics	Detroit Tigers	-0.03743255260533246	-0.26432077088814243	0.1828187482649976	-0.2710241475684016	6.512	7.54	14.053	-1.028	186	60.0	365	100	0.05
