date	away_team	home_team	total_runs	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	date_str	close_total_line	num_books	line_source	snapshot_ts	requested_snapshot_ts	commence_time	pinnacle_line	draftkings_line	fanduel_line	betmgm_line	actual_total	entry_total_line	hours_to_first_pitch	market_adjusted_total	market_adjustment_method	market_shrink_fraction	p_over	p_under	edge	abs_edge	confidence	bet	actual_over_entry	bet_won_entry	closing_total_line	open_total_line	closing_line_source	closing_num_books	closing_snapshot_ts	closing_commence_time	selection_reason	close_move	clv_runs	beat_close	matched_closing_line	actual_over_close	evaluation_month
2022-07-28	Philadelphia Phillies	Pittsburgh Pirates	15	9.635879698143615	4.8454795	0.4615354597568512	0.3948759578302235	2022-07-28	7.75	4	oddsapi_snapshot	2022-07-28 21:55:00+00:00	2022-07-28 22:00:00+00:00	2022-07-28 23:06:00+00:00	8.0	7.5	8.0	7.5	15	7.75	1.1833333333333333	8.964528129588976	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.2145281295889756	1.2145281295889756	0.5989583333333331	OVER	True	True	7.75		oddsapi	4.0	2022-07-28 21:55:00+00:00	2022-07-28 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-29	Milwaukee Brewers	Boston Red Sox	5	10.352104924019399	4.590486	0.45868512988090515	0.38990435825136605	2022-07-29	9.0	4	oddsapi_snapshot	2022-07-29 21:55:00+00:00	2022-07-29 22:00:00+00:00	2022-07-29 23:10:00+00:00	9.0	9.0	9.0	9.0	5	9.0	1.25	10.15061356655552	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1506135665555206	1.1506135665555206	0.5989583333333331	OVER	False	False	9.0		oddsapi	4.0	2022-07-29 21:55:00+00:00	2022-07-29 23:10:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-29	New York Mets	Miami Marlins	10	7.604757586010718	4.766414	0.3839650809764862	0.44959888683107796	2022-07-29	6.5	4	oddsapi_snapshot	2022-07-29 18:55:00+00:00	2022-07-29 19:00:00+00:00	2022-07-29 22:41:00+00:00	6.5	6.5	6.5	6.5	10	6.5	3.7666666666666666	7.2984359760382	edge_model	0.0	0.5665167605170317	0.4334832394829683	0.7984359760382	0.7984359760382	0.5665167605170317	OVER	True	True	6.5		oddsapi	4.0	2022-07-29 21:55:00+00:00	2022-07-29 22:41:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-30	Chicago Cubs	San Francisco Giants	9	8.121071330356594	4.645878	0.3697122871875763	0.44530711994913524	2022-07-30	7.5	4	oddsapi_snapshot	2022-07-30 00:55:00+00:00	2022-07-30 01:00:00+00:00	2022-07-30 02:16:00+00:00	7.5	7.5	7.5	7.5	9	7.5	1.35	6.678256425574952	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8217435744250476	0.8217435744250476	0.5701970443349753	UNDER	True	False	7.5		oddsapi	4.0	2022-07-30 00:55:00+00:00	2022-07-30 02:16:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-30	Cleveland Guardians	Tampa Bay Rays	10	9.387022059252262	4.7802224	0.46469486951828004	0.3972783230378956	2022-07-30	7.5	4	oddsapi_snapshot	2022-07-30 15:55:00+00:00	2022-07-30 16:00:00+00:00	2022-07-30 17:11:00+00:00	7.5	7.5	7.5	7.5	10	7.5	1.2666666666666666	9.316393126074392	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.8163931260743915	1.8163931260743915	0.5989583333333331	OVER	True	True	7.5		oddsapi	4.0	2022-07-30 15:55:00+00:00	2022-07-30 17:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-30	Detroit Tigers	Toronto Blue Jays	8	10.200719251909517	4.7443433	0.48302937746047975	0.38853462563303415	2022-07-30	9.0	4	oddsapi_snapshot	2022-07-30 15:55:00+00:00	2022-07-30 16:00:00+00:00	2022-07-30 19:08:00+00:00	9.0	9.0	9.0	9.0	8	9.0	3.216666666666667	10.189178157657137	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1891781576571372	1.1891781576571372	0.5989583333333331	OVER	False	False	9.0		oddsapi	4.0	2022-07-30 18:55:00+00:00	2022-07-30 19:08:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-30	Minnesota Twins	San Diego Padres	11	8.771284669559211	4.5724926	0.38711088299751284	0.436674162013802	2022-07-30	7.5	4	oddsapi_snapshot	2022-07-30 21:55:00+00:00	2022-07-30 22:00:00+00:00	2022-07-30 23:16:00+00:00	7.0	7.5	7.5	7.5	11	7.5	1.35	8.835931182767313	edge_model	0.0	0.5665167605170317	0.4334832394829683	1.3359311827673128	1.3359311827673128	0.5665167605170317	OVER	True	True	7.5		oddsapi	4.0	2022-07-30 00:55:00+00:00	2022-07-30 01:41:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-30	St. Louis Cardinals	Washington Nationals	13	9.378506561759622	4.710474	0.44941856265068053	0.39582962618616524	2022-07-30	9.5	4	oddsapi_snapshot	2022-07-30 21:55:00+00:00	2022-07-30 22:00:00+00:00	2022-07-30 23:16:00+00:00	9.5	9.5	9.5	9.5	13	9.5	1.35	10.680688765223703	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.180688765223703	1.180688765223703	0.5989583333333331	OVER	True	True	9.5		oddsapi	4.0	2022-07-30 21:55:00+00:00	2022-07-30 23:16:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-31	Chicago Cubs	San Francisco Giants	4	8.183895859591294	4.6830697	0.3697122871875763	0.44530711994913524	2022-07-31	7.5	4	oddsapi_snapshot	2022-07-31 21:55:00+00:00	2022-07-31 22:00:00+00:00	2022-07-31 23:09:00+00:00	7.5	7.5	7.5	7.5	4	7.5	1.2333333333333334	6.620429844156173	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8795701558438269	0.8795701558438269	0.5701970443349753	UNDER	False	True	8.25		oddsapi	4.0	2022-07-31 00:55:00+00:00	2022-07-31 01:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.75	-0.75	False	True	0.0	2022-07
2022-07-31	Cleveland Guardians	Tampa Bay Rays	8	8.330254484615196	4.695427	0.42373068928718566	0.41636016593721814	2022-07-31	6.5	4	oddsapi_snapshot	2022-07-31 15:55:00+00:00	2022-07-31 16:00:00+00:00	2022-07-31 17:41:00+00:00	6.5	6.5	6.5	6.5	8	6.5	1.7666666666666666	7.676917189281069	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1769171892810686	1.1769171892810686	0.5989583333333331	OVER	True	True	6.5		oddsapi	4.0	2022-07-31 15:55:00+00:00	2022-07-31 17:41:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-31	Kansas City Royals	New York Yankees	14	10.000900071800304	4.583963	0.4785580635070801	0.3974212847783894	2022-07-31	8.5	4	oddsapi_snapshot	2022-07-31 15:55:00+00:00	2022-07-31 16:00:00+00:00	2022-07-31 17:36:00+00:00	8.5	8.5	8.5	8.5	14	8.5	1.6833333333333333	9.648978531731865	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1489785317318653	1.1489785317318653	0.5989583333333331	OVER	True	True	8.5		oddsapi	4.0	2022-07-31 15:55:00+00:00	2022-07-31 17:36:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-31	St. Louis Cardinals	Washington Nationals	5	9.208911261905293	4.8941936	0.448398357629776	0.40025496707704966	2022-07-31	9.0	4	oddsapi_snapshot	2022-07-31 15:55:00+00:00	2022-07-31 16:00:00+00:00	2022-07-31 17:36:00+00:00	9.0	9.0	9.0	9.0	5	9.0	1.6833333333333333	10.22673842144712	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.22673842144712	1.22673842144712	0.5989583333333331	OVER	False	False	9.0		oddsapi	4.0	2022-07-31 15:55:00+00:00	2022-07-31 17:36:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-08-01	Cincinnati Reds	Miami Marlins	4	8.719731027765304	4.3209105	0.40015891898762096	0.45023850890754963	2022-08-01	7.5	4	oddsapi_snapshot	2022-08-01 18:55:00+00:00	2022-08-01 19:00:00+00:00	2022-08-01 22:40:00+00:00	8.0	7.5	7.5	7.5	4	7.5	3.75	6.352844124670715	edge_model	0.0	0.44137101623571856	0.5586289837642815	-1.1471558753292852	1.1471558753292852	0.5586289837642815	UNDER	False	True	7.25		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-01 22:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	-0.25	0.25	True	True	0.0	2022-08
2022-08-01	Detroit Tigers	Minnesota Twins	8	8.999477205274733	4.8757377	0.4404585193503987	0.4431606734073093	2022-08-01	8.5	4	oddsapi_snapshot	2022-08-01 21:55:00+00:00	2022-08-01 22:00:00+00:00	2022-08-01 23:40:00+00:00	8.5	8.5	8.0	8.5	8	8.5	1.75	7.800229445292428	edge_model	0.0	0.44293937913412673	0.5570606208658733	-0.6997705547075723	0.6997705547075723	0.5570606208658733	UNDER	False	True	8.5		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-01 23:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-08
2022-08-01	New York Mets	Washington Nationals	10	9.22198591309939	4.757781	0.45076139507766255	0.425500776795142	2022-08-01	8.5	4	oddsapi_snapshot	2022-08-01 21:55:00+00:00	2022-08-01 22:00:00+00:00	2022-08-01 23:06:00+00:00	8.5	8.5	8.5	8.5	10	8.5	1.1833333333333333	7.817158695362052	edge_model	0.0	0.44293937913412673	0.5570606208658733	-0.6828413046379476	0.6828413046379476	0.5570606208658733	UNDER	True	False	8.5		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-01 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-08
2022-08-01	Seattle Mariners	New York Yankees	9	7.70678711864888	4.6792154	0.39373476017605175	0.4607297787344387	2022-08-01	9.0	4	oddsapi_snapshot	2022-08-01 21:55:00+00:00	2022-08-01 22:00:00+00:00	2022-08-01 23:06:00+00:00	9.0	9.0	9.0	9.0	9	9.0	1.1833333333333333	8.309843308456271	edge_model	0.0	0.44137101623571856	0.5586289837642815	-0.6901566915437289	0.6901566915437289	0.5586289837642815	UNDER	False	True	9.0		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-01 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-08
2022-08-02	Arizona Diamondbacks	Cleveland Guardians	9	8.039709096653935	4.3722687	0.3717014323581349	0.46160051616787223	2022-08-02	7.5	4	oddsapi_snapshot	2022-08-02 21:55:00+00:00	2022-08-02 22:00:00+00:00	2022-08-02 23:11:00+00:00	7.5	7.5	7.5	7.5	9	7.5	1.2666666666666666	6.674253356777806	edge_model	0.0	0.44137101623571856	0.5586289837642815	-0.8257466432221943	0.8257466432221943	0.5586289837642815	UNDER	True	False	7.5		oddsapi	4.0	2022-08-02 21:55:00+00:00	2022-08-02 23:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-08
2022-08-02	Baltimore Orioles	Texas Rangers	10	8.906454528422739	4.6768847	0.41319694031368603	0.4556312391436031	2022-08-02	7.5	4	oddsapi_snapshot	2022-08-01 21:55:00+00:00	2022-08-01 22:00:00+00:00	2022-08-02 00:06:00+00:00	7.5	8.0	7.5	7.5	10	7.5	2.183333333333333	6.291784238154917	edge_model	0.0	0.44293937913412673	0.5570606208658733	-1.208215761845083	1.208215761845083	0.5570606208658733	UNDER	True	False	7.5		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-02 00:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-08
2022-08-02	Boston Red Sox	Houston Astros	3	8.205648703853539	4.2517915	0.4024322520602833	0.44991668256878165	2022-08-02	7.5	4	oddsapi_snapshot	2022-08-01 21:55:00+00:00	2022-08-01 22:00:00+00:00	2022-08-02 00:11:00+00:00	7.5	7.5	7.5	7.5	3	7.5	2.2666666666666666	6.9063220133786825	edge_model	0.0	0.4578313253012048	0.5421686746987953	-0.5936779866213175	0.5936779866213175	0.5421686746987953	UNDER	False	True	7.5		oddsapi	4.0	2022-08-01 21:55:00+00:00	2022-08-02 00:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-08
