game_id	date	home_team_id	away_team_id	home_off_elo	home_def_elo	away_off_elo	away_def_elo	elo_expected_total	elo_offense_sum	elo_matchup_score	elo_home_edge
634517	2021-04-16	136	117	1480.12	1479.11	1527.8	1488.87	9.27	3007.91	39.93	-57.44
634519	2021-04-16	146	137	1514.8	1483.22	1398.97	1660.8	8.459	2913.77	-230.24	-61.76
634525	2021-04-16	133	116	1497.44	1401.43	1468.1	1433.74	9.541	2965.54	130.37	-2.98
634526	2021-04-16	108	142	1539.55	1433.1	1514.03	1564.17	9.319	3053.59	56.31	-105.55
634531	2021-04-16	135	119	1448.21	1650.75	1589.09	1630.67	8.418	3037.3	-244.12	-120.8
634548	2021-04-16	112	144	1332.86	1504.28	1514.37	1448.12	8.835	2847.23	-105.16	-125.34
634447	2021-04-17	136	117	1491.13	1476.28	1530.63	1477.86	9.353	3021.75	67.61	-41.08
634449	2021-04-17	135	119	1463.39	1597.27	1642.57	1615.49	8.83	3105.96	-106.81	-197.4
634450	2021-04-17	146	137	1513.1	1509.19	1373.0	1662.49	8.293	2886.1	-285.59	-13.19
634460	2021-04-17	113	114	1668.38	1496.88	1425.43	1595.44	9.154	3093.82	1.5	144.39
634462	2021-04-17	112	144	1314.43	1500.52	1518.13	1466.55	8.746	2832.56	-134.51	-169.73
634470	2021-04-17	143	138	1447.11	1553.18	1512.03	1401.26	9.164	2959.14	4.7	87.0
634471	2021-04-17	111	145	1617.1	1561.09	1538.4	1581.97	9.187	3155.5	12.45	57.82
634473	2021-04-17	158	134	1468.04	1594.08	1486.67	1470.7	8.82	2954.71	-110.07	104.75
634477	2021-04-17	118	141	1524.17	1501.04	1501.82	1557.76	9.052	3025.99	-32.81	-34.37
634479	2021-04-17	133	116	1482.71	1439.03	1430.5	1448.47	9.227	2913.21	25.71	42.77
634485	2021-04-17	115	121	1464.34	1446.67	1461.29	1567.82	8.883	2925.63	-88.87	-118.09
634500	2021-04-17	147	139	1431.06	1524.28	1460.42	1413.41	9.011	2891.47	-46.22	81.51
634507	2021-04-17	120	109	1409.87	1477.2	1510.93	1444.11	9.148	2920.79	-0.52	-67.97
634520	2021-04-17	118	141	1495.77	1497.06	1505.8	1586.15	8.905	3001.58	-81.63	-99.12
634543	2021-04-17	140	110	1443.83	1507.45	1456.38	1474.78	8.904	2900.21	-82.02	20.13
634561	2021-04-17	115	121	1453.63	1451.03	1456.94	1578.54	8.793	2910.56	-119.0	-130.83
634425	2021-04-18	146	137	1535.49	1493.93	1388.26	1640.11	8.519	2923.75	-210.28	1.04
634442	2021-04-18	118	141	1484.74	1517.27	1485.59	1597.18	8.718	2970.34	-144.12	-80.76
634455	2021-04-18	158	134	1486.91	1619.5	1461.25	1451.84	8.78	2948.15	-123.18	193.32
634458	2021-04-18	147	139	1417.43	1510.75	1473.95	1427.03	9.011	2891.38	-46.4	27.2
634468	2021-04-18	115	121	1475.42	1471.17	1436.8	1556.74	8.803	2912.22	-115.69	-46.95
