date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-20	Seattle Mariners	Atlanta Braves	8.612752676502497	8.91206285425416	4.3270826	9.0	-0.08793714574584044	0.4918930527220016	UNDER	10.0	False
2023-05-20	Los Angeles Dodgers	St. Louis Cardinals	9.090612034447979	8.910704475343683	4.3939238	9.0	-0.08929552465631652	0.4918930527220016	UNDER	11.0	False
2023-05-21	Kansas City Royals	Chicago White Sox	8.876631751534006	8.269321290774489	4.336787	9.0	-0.7306787092255114	0.43310131477184843	UNDER	7.0	True
2023-05-21	Milwaukee Brewers	Tampa Bay Rays	8.6611053202916	7.90930476634779	4.4627986	8.0	-0.09069523365220977	0.4918930527220016	UNDER	10.0	False
2023-05-21	Miami Marlins	San Francisco Giants	7.95682654705891	6.445485741399528	4.334241	7.75	-1.3045142586004719	0.3817153628652215	UNDER	12.0	False
2023-05-21	Arizona Diamondbacks	Pittsburgh Pirates	8.688232697530784	8.41277616404486	4.291983	8.5	-0.0872238359551396	0.4918930527220016	UNDER	11.0	False
2023-05-21	Colorado Rockies	Texas Rangers	10.70621348944861	11.310169306585056	5.1947703	9.0	2.310169306585056	0.6717355371900828	OVER	16.0	True
2023-05-21	Detroit Tigers	Washington Nationals	9.214000917306544	8.411742446764318	4.342849	8.5	-0.08825755323568174	0.4918930527220016	UNDER	10.0	False
2023-05-21	Boston Red Sox	San Diego Padres	8.588706675837468	6.983398585284428	4.5499988	7.75	-0.7666014147155717	0.43310131477184843	UNDER	7.0	True
2023-05-21	Cleveland Guardians	New York Mets	8.861549400394498	7.366045064653423	4.6680007	7.5	-0.1339549353465772	0.4918930527220016	UNDER	9.0	False
2023-05-21	Los Angeles Dodgers	St. Louis Cardinals	9.270792308993995	7.904633749597068	4.692643	8.0	-0.09536625040293156	0.4918930527220016	UNDER	15.0	False
2023-05-21	Oakland Athletics	Houston Astros	7.63655994620844	7.755556987298159	4.4184823	8.5	-0.7444430127018409	0.43310131477184843	UNDER	2.0	True
2023-05-21	Seattle Mariners	Atlanta Braves	8.884264883222219	9.413179706541216	4.272126	9.5	-0.08682029345878384	0.4918930527220016	UNDER	5.0	True
2023-05-21	Minnesota Twins	Los Angeles Angels	8.283849355586751	7.1929988643560545	4.3425035	8.5	-1.3070011356439455	0.3817153628652215	UNDER	6.0	True
2023-05-21	Chicago Cubs	Philadelphia Phillies	8.385821994185541	7.198388963682102	4.324595	8.5	-1.3016110363178983	0.3817153628652215	UNDER	3.0	True
2023-05-21	New York Yankees	Cincinnati Reds	9.39858743850127	8.905046711282878	4.6723228	9.0	-0.09495328871712161	0.4918930527220016	UNDER	5.0	True
2023-05-21	Cleveland Guardians	New York Mets	8.543856050734949	7.339651852703016	4.383432	7.5	-0.16034814729698432	0.4918930527220016	UNDER	9.0	False
2023-05-21	Baltimore Orioles	Toronto Blue Jays	8.450965359101763	8.413221191675017	4.270085	8.5	-0.08677880832498275	0.4918930527220016	UNDER	11.0	False
2023-05-22	Chicago White Sox	Cleveland Guardians	7.807217161736932	7.172219921663002	4.4115415	8.5	-1.327780078336998	0.3817153628652215	UNDER	3.0	True
2023-05-22	Texas Rangers	Pittsburgh Pirates	8.50473307899871	8.287864501416566	4.226728	9.0	-0.7121354985834341	0.43310131477184843	UNDER	10.0	False
2023-05-22	St. Louis Cardinals	Cincinnati Reds	9.358610860936746	9.908932000956074	4.481141	10.0	-0.0910679990439256	0.4918930527220016	UNDER	11.0	False
2023-05-22	Arizona Diamondbacks	Philadelphia Phillies	8.44171537580719	7.798720631618754	3.9912436	9.0	-1.201279368381246	0.3817153628652215	UNDER	9.0	True
2023-05-22	Toronto Blue Jays	Tampa Bay Rays	9.244267441281176	8.90892814412747	4.481331	9.0	-0.09107185587252964	0.4918930527220016	UNDER	10.0	False
2023-05-22	Los Angeles Dodgers	Atlanta Braves	9.064093954683294	9.417090123743481	4.079708	9.5	-0.0829098762565188	0.4918930527220016	UNDER	14.0	False
2023-05-22	Detroit Tigers	Kansas City Royals	9.471370604073343	8.405937115402057	4.628509	8.5	-0.09406288459794254	0.4918930527220016	UNDER	13.0	False
2023-05-22	San Francisco Giants	Minnesota Twins	7.4601400704008425	6.791907722468049	4.3682013	8.5	-1.708092277531951	0.34788799240626483	UNDER	5.0	True
2023-05-22	Houston Astros	Milwaukee Brewers	8.525004233217977	7.3483685282588995	4.412252	7.5	-0.15163147174110048	0.4918930527220016	UNDER	14.0	False
2023-05-23	San Francisco Giants	Minnesota Twins	8.001473787951022	7.30598271678417	4.119191	8.0	-0.69401728321583	0.43310131477184843	UNDER	7.0	True
2023-05-23	Los Angeles Dodgers	Atlanta Braves	8.733223903184927	8.407298217349815	4.561534	8.5	-0.09270178265018458	0.4918930527220016	UNDER	9.0	False
2023-05-23	Chicago White Sox	Cleveland Guardians	7.685998300873566	7.231319704975567	4.215183	8.5	-1.2686802950244331	0.3817153628652215	UNDER	6.0	True
2023-05-23	Texas Rangers	Pittsburgh Pirates	7.61082963349386	7.3070507483869775	4.112852	8.0	-0.6929492516130225	0.43310131477184843	UNDER	7.0	True
2023-05-23	St. Louis Cardinals	Cincinnati Reds	9.621416302163494	10.412055460384249	4.3274465	10.5	-0.08794453961575144	0.4918930527220016	UNDER	13.0	False
2023-05-23	Arizona Diamondbacks	Philadelphia Phillies	8.504940229073576	8.289308803763694	4.0225143	9.5	-1.210691196236306	0.3817153628652215	UNDER	7.0	True
2023-05-23	San Diego Padres	Washington Nationals	7.9937531642083055	7.275906307347693	4.2977033	8.0	-0.7240936926523069	0.43310131477184843	UNDER	11.0	False
2023-05-23	New York Mets	Chicago Cubs	8.867638925110619	8.410863283653129	4.3861094	8.5	-0.08913671634687148	0.4918930527220016	UNDER	9.0	False
2023-05-23	Detroit Tigers	Kansas City Royals	10.358149314873156	10.611261311930091	4.747495	8.5	2.1112613119300914	0.6717355371900828	OVER	5.0	False
2023-05-23	Houston Astros	Milwaukee Brewers	8.262589704719087	8.754652606994803	4.42385	9.5	-0.745347393005197	0.43310131477184843	UNDER	6.0	True
2023-05-23	Miami Marlins	Colorado Rockies	9.05848328583625	11.41270649886689	4.295411	11.5	-0.08729350113311085	0.4918930527220016	UNDER	9.0	True
2023-05-23	Boston Red Sox	Los Angeles Angels	8.656489052958094	8.73833704644169	4.5206876	9.5	-0.7616629535583108	0.43310131477184843	UNDER	4.0	True
2023-05-23	Oakland Athletics	Seattle Mariners	8.281163118444836	7.659147023995999	4.4705606	7.75	-0.09085297600400111	0.4918930527220016	UNDER	5.0	True
2023-05-23	Baltimore Orioles	New York Yankees	7.825741927230122	5.2058975188642655	4.2345233	7.5	-2.2941024811357345	0.3817153628652215	UNDER	11.0	False
2023-05-23	Toronto Blue Jays	Tampa Bay Rays	9.116396424744025	8.409484409284117	4.453959	8.5	-0.09051559071588322	0.4918930527220016	UNDER	21.0	False
2023-05-24	Texas Rangers	Pittsburgh Pirates	8.070299630742111	8.304471607469713	3.9955492	9.0	-0.6955283925302869	0.43090294888233316	UNDER	5.0	True
2023-05-24	Arizona Diamondbacks	Philadelphia Phillies	9.16485019018847	7.910588683270851	4.3996215	8.0	-0.08941131672914882	0.4918930527220016	UNDER	11.0	False
2023-05-24	Chicago White Sox	Cleveland Guardians	7.6889013617836905	7.289861818527851	4.2148733	8.0	-0.710138181472149	0.43310131477184843	UNDER	6.0	True
2023-05-24	San Francisco Giants	Minnesota Twins	8.076640161924637	7.412594784513125	4.03576	7.5	-0.08740521548687497	0.4918930527220016	UNDER	8.0	False
2023-05-24	San Diego Padres	Washington Nationals	8.507376759962131	9.2639226456981	4.3688297	10.0	-0.7360773543018997	0.43310131477184843	UNDER	8.0	True
