date	away_team	home_team	commence_time	snapshot_ts	requested_snapshot_ts	close_total_line	num_books	close_total_line	fanduel_line	pinnacle_line	betmgm_line	draftkings_line	actual_total	season
2023-07-21	Philadelphia Phillies	Cleveland Guardians	2023-07-21 23:10:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	8.25	4	8.25	8.5	8.0	8.0	8.5	11.0	2023.0
2023-07-21	San Diego Padres	Detroit Tigers	2023-07-21 22:40:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	9.0	2023.0
2023-07-21	San Francisco Giants	Washington Nationals	2023-07-21 23:05:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	9.5	4	9.5	9.5	10.0	9.5	9.5	8.0	2023.0
2023-07-21	St. Louis Cardinals	Chicago Cubs	2023-07-21 00:05:00+00:00	2023-07-20 21:55:40+00:00	2023-07-20 22:00:00+00:00	8.5	4	8.5	8.5	9.0	8.5	8.5	7.0	2023.0
2023-07-22	Arizona Diamondbacks	Cincinnati Reds	2023-07-22 20:10:00+00:00	2023-07-22 18:55:39+00:00	2023-07-22 19:00:00+00:00	11.0	4	11.0	11.0	11.0	11.0	11.0	6.0	2023.0
2023-07-22	Atlanta Braves	Milwaukee Brewers	2023-07-22 23:15:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	7.0	2023.0
2023-07-22	Baltimore Orioles	Tampa Bay Rays	2023-07-22 20:10:00+00:00	2023-07-22 18:55:39+00:00	2023-07-22 19:00:00+00:00	7.5	4	7.5	7.5	8.0	7.5	7.5	11.0	2023.0
2023-07-22	Chicago White Sox	Minnesota Twins	2023-07-22 23:15:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	5.0	2023.0
2023-07-22	Colorado Rockies	Miami Marlins	2023-07-22 17:10:00+00:00	2023-07-22 15:55:40+00:00	2023-07-22 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	7.0	2023.0
2023-07-22	Houston Astros	Oakland Athletics	2023-07-22 01:40:00+00:00	2023-07-22 00:55:40+00:00	2023-07-22 01:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	5.0	2023.0
2023-07-22	Kansas City Royals	New York Yankees	2023-07-22 17:05:00+00:00	2023-07-22 15:55:40+00:00	2023-07-22 16:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	7.0	2023.0
2023-07-22	Los Angeles Dodgers	Texas Rangers	2023-07-22 20:05:00+00:00	2023-07-22 18:55:39+00:00	2023-07-22 19:00:00+00:00	9.5	4	9.5	9.0	9.5	9.5	9.5	19.0	2023.0
2023-07-22	New York Mets	Boston Red Sox	2023-07-22 23:10:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	9.25	4	9.25	9.0	9.5	9.5	9.0	14.0	2023.0
2023-07-22	Philadelphia Phillies	Cleveland Guardians	2023-07-22 23:10:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	1.0	2023.0
2023-07-22	Pittsburgh Pirates	Los Angeles Angels	2023-07-22 01:38:00+00:00	2023-07-22 00:55:40+00:00	2023-07-22 01:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	3.0	2023.0
2023-07-22	San Diego Padres	Detroit Tigers	2023-07-22 22:10:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	10.0	4	10.0	10.0	9.5	10.0	10.0	17.0	2023.0
2023-07-22	San Francisco Giants	Washington Nationals	2023-07-22 23:05:00+00:00	2023-07-22 21:55:40+00:00	2023-07-22 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	11.0	2023.0
2023-07-22	St. Louis Cardinals	Chicago Cubs	2023-07-22 18:20:00+00:00	2023-07-22 15:55:40+00:00	2023-07-22 16:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	14.0	2023.0
2023-07-22	Toronto Blue Jays	Seattle Mariners	2023-07-22 02:10:00+00:00	2023-07-22 00:55:40+00:00	2023-07-22 01:00:00+00:00	8.25	4	8.25	8.5	8.5	8.0	8.0	17.0	2023.0
2023-07-23	Arizona Diamondbacks	Cincinnati Reds	2023-07-23 17:40:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	11.0	4	11.0	11.0	11.0	11.0	11.0	10.0	2023.0
2023-07-23	Atlanta Braves	Milwaukee Brewers	2023-07-23 18:10:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	10.0	4	10.0	10.0	10.0	10.0	9.5	6.0	2023.0
2023-07-23	Baltimore Orioles	Tampa Bay Rays	2023-07-23 17:40:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	8.0	2023.0
2023-07-23	Chicago White Sox	Minnesota Twins	2023-07-23 18:10:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	9.0	2023.0
2023-07-23	Colorado Rockies	Miami Marlins	2023-07-23 17:40:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	5.0	2023.0
2023-07-23	Houston Astros	Oakland Athletics	2023-07-23 01:07:00+00:00	2023-07-23 00:55:40+00:00	2023-07-23 01:00:00+00:00	8.25	4	8.25	8.0	8.5	8.0	8.5	5.0	2023.0
2023-07-23	Kansas City Royals	New York Yankees	2023-07-23 17:35:00+00:00	2023-07-23 15:55:39+00:00	2023-07-23 16:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	13.0	2023.0
