date	away_team	home_team	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	total_runs
2025-08-26	Pittsburgh Pirates	St. Louis Cardinals	9.518736705883155	4.448234	0.4628126953510528	0.40843204349628753	11
2025-08-26	San Diego Padres	Seattle Mariners	8.2821685257167	4.2539854	0.36368931237361773	0.44652214736095736	13
2025-08-26	Chicago Cubs	San Francisco Giants	7.731640947177432	4.2596574	0.3144409507860933	0.47905991763225864	7
2025-08-26	Detroit Tigers	Athletics	10.066602401186017	4.473895	0.4475464761257172	0.38065219015232393	13
2025-08-26	Cincinnati Reds	Los Angeles Dodgers	8.19462346538378	4.185568	0.35842054191730366	0.46583095878712005	9
2025-08-26	Los Angeles Angels	Texas Rangers	8.946417393768716	4.145519	0.43981076184413775	0.406191808882869	10
2025-08-26	Colorado Rockies	Houston Astros	8.651149809703885	4.484057	0.37834386531017167	0.42078996390453643	7
2025-08-27	Pittsburgh Pirates	St. Louis Cardinals	9.391814946614502	4.4280276	0.4570706580547576	0.41429554909817046	3
2025-08-27	Kansas City Royals	Chicago White Sox	13.222773463437791	6.0	0.5334170912174468	0.37348187655559845	13
2025-08-27	Washington Nationals	New York Yankees	9.190363511941637	4.1520333	0.3980778068651949	0.42929614276043243	13
2025-08-27	Atlanta Braves	Miami Marlins	8.455244567254054	4.383848	0.3495191306223665	0.47039702624431917	13
2025-08-27	Tampa Bay Rays	Cleveland Guardians	8.515332542064824	4.5204105	0.3642808288683687	0.4616047093307144	7
2025-08-27	San Diego Padres	Seattle Mariners	7.4385884452834095	4.090286	0.31166951361797196	0.499895889464534	7
2025-08-27	Philadelphia Phillies	New York Mets	8.383625556407832	4.0514197	0.3488864690413271	0.4539877364074356	6
2025-08-27	Los Angeles Angels	Texas Rangers	8.927539161593264	4.357771	0.43981076184413775	0.406191808882869	23
2025-08-27	Arizona Diamondbacks	Milwaukee Brewers	9.045025883376505	4.3191075	0.38899218145511494	0.4284826287662155	5
2025-08-27	Colorado Rockies	Houston Astros	9.28238830662662	4.5596952	0.4313433677305971	0.4248269745742447	4
2025-08-27	Cincinnati Reds	Los Angeles Dodgers	8.432683328173916	4.1438975	0.367291376029471	0.45808584779850314	6
2025-08-27	Chicago Cubs	San Francisco Giants	8.005272412850475	4.439591	0.3273905486216341	0.46256030887714694	15
2025-08-27	Detroit Tigers	Athletics	9.346034487186516	4.2612033	0.39845254722736223	0.4150397011672623	7
2025-08-27	Minnesota Twins	Toronto Blue Jays	8.254890363498815	4.2388854	0.3427487343897615	0.46154813260189365	17
2025-08-27	Boston Red Sox	Baltimore Orioles	8.822102420755792	4.4716287	0.39588826600215776	0.4149307140742905	5
2025-08-28	Arizona Diamondbacks	Milwaukee Brewers	9.82737092085303	4.3230104	0.47978803857843927	0.3881169566547043	10
2025-08-28	Colorado Rockies	Houston Astros	8.387000677415354	4.4965596	0.3554764062514101	0.4546655485068924	7
2025-08-28	Boston Red Sox	Baltimore Orioles	8.728602117177287	4.3313804	0.40224672857425553	0.4149307140742905	5
2025-08-28	Pittsburgh Pirates	St. Louis Cardinals	8.63289319041148	4.4354234	0.3630723506560121	0.4194305130874283	5
2025-08-28	Chicago Cubs	San Francisco Giants	7.433059024116315	4.246005	0.3125082940211092	0.5028138110076553	7
2025-08-28	New York Yankees	Chicago White Sox	8.667333058423429	4.1192265	0.39693502489230975	0.43887422174564666	14
2025-08-28	Atlanta Braves	Philadelphia Phillies	8.870202086181289	4.44802	0.395774486695746	0.4105337509547836	23
2025-08-28	Miami Marlins	New York Mets	8.498443652321464	4.4012785	0.34963983002803667	0.4710204789077408	11
2025-08-29	San Diego Padres	Minnesota Twins	8.149402083024855	4.6997185	0.3461186260332857	0.45497663110843967	11
2025-08-29	Pittsburgh Pirates	Boston Red Sox	7.883498863266615	4.4055843	0.32107433978221755	0.4643989452754623	6
2025-08-29	St. Louis Cardinals	Cincinnati Reds	8.5575841036277	4.2719436	0.3639940828432833	0.43994250983349154	12
2025-08-29	Tampa Bay Rays	Washington Nationals	9.630665385514723	4.5072765	0.4153804689993654	0.4196520635520584	5
2025-08-29	Atlanta Braves	Philadelphia Phillies	8.097840145319738	4.4153438	0.3261701077570711	0.46590899318806	3
2025-08-29	Miami Marlins	New York Mets	9.152693792087577	4.5359273	0.4166774958720003	0.42031580299488375	28
2025-08-29	Los Angeles Angels	Houston Astros	8.014919431029194	4.174711	0.31861731115482195	0.4658901104365952	2
2025-08-29	Milwaukee Brewers	Toronto Blue Jays	8.498573184332368	4.262529	0.33652892414234026	0.47050402850261996	9
2025-08-29	Detroit Tigers	Kansas City Royals	9.051210038215105	4.295898	0.43947387639186725	0.4036767551337845	8
2025-08-29	Chicago Cubs	Colorado Rockies	10.765228744811909	5.010405	0.5078202699093108	0.3747894534503586	18
2025-08-29	Texas Rangers	Athletics	10.921530108469696	4.6695714	0.5321162913707976	0.36808207124821013	7
2025-08-29	Arizona Diamondbacks	Los Angeles Dodgers	9.213837880918097	4.0333767	0.4139488488783632	0.42321534246555637	3
2025-08-29	Baltimore Orioles	San Francisco Giants	8.491522990586478	4.067452	0.36907677951953755	0.4468460509215958	23
2025-08-29	New York Yankees	Chicago White Sox	8.845443725625865	4.4798465	0.38504958454273086	0.44808036774746246	12
2025-08-29	Seattle Mariners	Cleveland Guardians	7.783421500248398	4.159433	0.32146764103076797	0.4876486370002396	9
2025-08-30	Atlanta Braves	Philadelphia Phillies	7.7775704467978395	4.2620263	0.32081218067310197	0.49727043599239656	5
2025-08-30	Texas Rangers	Athletics	10.933111630716182	4.564215	0.5289238546756988	0.37142215460888217	12
2025-08-30	St. Louis Cardinals	Cincinnati Reds	8.574967193969972	4.2370024	0.3687294513335024	0.4433589646255142	6
2025-08-30	Milwaukee Brewers	Toronto Blue Jays	9.197256621354768	4.4430623	0.40629974309108596	0.43759175032726594	5
2025-08-30	Miami Marlins	New York Mets	9.075384590920097	4.225439	0.40930676761768203	0.44162391513935395	19
2025-08-30	Pittsburgh Pirates	Boston Red Sox	8.072960489360737	4.360288	0.33969258967540605	0.45262814253918	13
2025-08-30	New York Yankees	Chicago White Sox	8.441782138995487	4.016855	0.3269466072668825	0.4819777676498062	8
2025-08-30	Tampa Bay Rays	Washington Nationals	10.376018957116308	4.839604	0.5182410810856108	0.37798668235889743	5
2025-08-30	Los Angeles Angels	Houston Astros	7.645263635873171	4.2396603	0.30610972348354204	0.48903405160061186	5
2025-08-30	Seattle Mariners	Cleveland Guardians	8.061498437463433	4.2072673	0.33538791242740496	0.4516446122562058	7
2025-08-30	Chicago Cubs	Colorado Rockies	10.814328646827448	5.051393	0.5078202699093108	0.3747894534503586	7
2025-08-30	Arizona Diamondbacks	Los Angeles Dodgers	8.488135432599085	4.1474853	0.3562954098334108	0.46196807712665866	7
2025-08-30	Baltimore Orioles	San Francisco Giants	8.731383456038463	4.130928	0.41264037791393143	0.4113814005290634	12
2025-08-30	Detroit Tigers	Kansas City Royals	9.25025970527809	4.2352886	0.46239598735849907	0.4079987415706284	4
2025-08-30	San Diego Padres	Minnesota Twins	10.687165763039001	5.0776887	0.5206551049618011	0.378665477934993	15
2025-08-31	Arizona Diamondbacks	Los Angeles Dodgers	8.733721290267695	4.1852584	0.4019161731352602	0.413939816657222	9
2025-08-31	San Diego Padres	Minnesota Twins	10.683231664506174	5.9611	0.514328167286325	0.3778761574660904	9
2025-08-31	Pittsburgh Pirates	Boston Red Sox	8.627932940227405	4.2215905	0.38558815423152787	0.4211823710834152	7
2025-08-31	Tampa Bay Rays	Washington Nationals	10.728525136841878	5.6969395	0.5182410810856108	0.37798668235889743	11
2025-08-31	Milwaukee Brewers	Toronto Blue Jays	8.885023374436187	4.3678107	0.3969069868674074	0.43759175032726594	12
2025-08-31	Miami Marlins	New York Mets	9.256171172659252	4.324149	0.3911211938013826	0.44383730978123015	6
2025-08-31	Atlanta Braves	Philadelphia Phillies	8.083653660151779	4.212182	0.32064277235172134	0.4492041596805222	4
2025-08-31	Seattle Mariners	Cleveland Guardians	7.21952618918794	4.056492	0.29542398158214433	0.512080914679683	6
2025-08-31	Detroit Tigers	Kansas City Royals	8.316421981193951	4.188386	0.36618351641795976	0.4437955924903519	5
2025-08-31	New York Yankees	Chicago White Sox	9.26778239505407	4.0647535	0.4071388095965181	0.43725361317745515	5
2025-08-31	Chicago Cubs	Colorado Rockies	10.631638464443093	5.4768596	0.5121846888927704	0.37141668290249175	11
2025-08-31	Baltimore Orioles	San Francisco Giants	8.557942354478175	4.183257	0.357374498282889	0.4566363820468552	15
2025-08-31	Texas Rangers	Athletics	11.780259020636388	4.851016	0.5331470106510405	0.36808207124821013	15
2025-08-31	Los Angeles Angels	Houston Astros	7.717559962135242	4.1131897	0.3108496696104799	0.4899344512855179	3
2025-08-31	St. Louis Cardinals	Cincinnati Reds	8.599425177809628	4.368386	0.37685323659084186	0.4391931721603043	11
2025-09-01	Atlanta Braves	Chicago Cubs	8.107401235398921	4.119691	0.3507635683169161	0.45199548095814057	13
2025-09-01	Athletics	St. Louis Cardinals	8.799682515980313	4.3019323	0.37413138452670913	0.4316149303352005	14
2025-09-01	Miami Marlins	Washington Nationals	8.875607435306483	4.4591713	0.35561808053157673	0.45223004907718967	2
2025-09-01	New York Mets	Detroit Tigers	8.291717061767283	4.2987895	0.34786172214649064	0.4618425139819748	18
2025-09-01	Toronto Blue Jays	Cincinnati Reds	7.9088684274898675	4.270255	0.31287330690524917	0.4934880563651688	9
2025-09-01	Cleveland Guardians	Boston Red Sox	8.077465845371696	4.030913	0.3391794652094637	0.45351938695064853	10
2025-09-01	San Francisco Giants	Colorado Rockies	10.311756278084053	4.964307	0.49327264770548396	0.3867741355334885	10
2025-09-01	Philadelphia Phillies	Milwaukee Brewers	8.470146567380771	4.184787	0.377066150342444	0.4284311839973099	18
2025-09-01	Baltimore Orioles	San Diego Padres	8.018904681133678	4.1681814	0.3266058951964174	0.45351938695064853	7
2025-09-01	Seattle Mariners	Tampa Bay Rays	8.04657189414277	4.114757	0.3270151466479097	0.45042531580082246	12
2025-09-01	Texas Rangers	Arizona Diamondbacks	10.560931361326418	4.8947215	0.528216323700357	0.3810509631072647	12
2025-09-01	Chicago White Sox	Minnesota Twins	9.257965413755729	4.436734	0.40872982445857864	0.4424186179076798	11
2025-09-01	Los Angeles Angels	Houston Astros	8.251888843315518	4.3898516	0.3534077614893709	0.4510596224700577	11
2025-09-02	Miami Marlins	Washington Nationals	9.629548648213113	4.5978537	0.4211289257159029	0.4100513288413651	7
2025-09-02	Cleveland Guardians	Boston Red Sox	7.886268333509067	4.215177	0.3260526270022188	0.4788821765815384	18
