date	away_team	home_team	predicted_total	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_edge_pct	kalshi_fair_price_pct	kalshi_side_model_prob	kalshi_side_market_prob	bet_amount	bet_pct_bankroll	actual_total	result	pnl_dollars	roi_pct	settled	skip_reason
2026-04-11	Chicago White Sox	Kansas City Royals	7.57	8.5	0.54	UNDER	-12.2	41.8	58.2	46.0	621.0	3.386	2.0	win	729.0	117.39	True	
2026-04-11	Miami Marlins	Detroit Tigers	8.52	7.5	0.44	OVER	14.8	58.8	58.8	44.0	755.0	3.959	7.0	loss	-755.0	-100.0	True	
2026-04-11	Los Angeles Angels	Cincinnati Reds	8.08	9.5	0.47	UNDER	-8.9	38.1	61.9	53.0	522.0	2.85	10.0	loss	-522.0	-100.0	True	
2026-04-11	Pittsburgh Pirates	Chicago Cubs	8.34	6.5	0.5	OVER	15.9	65.9	65.9	50.0	849.0	4.771	7.0	win	849.0	100.0	True	
2026-04-11	San Francisco Giants	Baltimore Orioles	9.12	7.5	0.48	OVER	15.7	63.7	63.7	48.0	845.0	4.533	8.0	win	915.42	108.33	True	
2026-04-11	Cleveland Guardians	Atlanta Braves	8.61	8.5	0.47		3.9	50.9	50.9	47.0	0.0	0.0	6.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-12	Minnesota Twins	Toronto Blue Jays	9.0	8.5	0.46		8.4	54.4	54.4	46.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-12	New York Yankees	Tampa Bay Rays	8.23	7.5	0.49		7.4	56.4	56.4	49.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-12	Boston Red Sox	St. Louis Cardinals	8.83	8.5	0.55		-2.1	52.9	47.1	45.0	0.0	0.0	12.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-12	Arizona Diamondbacks	Philadelphia Phillies	8.18	8.5	0.49		-1.8	47.2	52.8	51.0	0.0	0.0	7.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-12	Athletics	New York Mets	8.28	7.5	0.45		12.0	57.0	57.0	45.0	0.0	0.0	1.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-12	Washington Nationals	Milwaukee Brewers	8.55	7.5	0.53	OVER	5.2	58.2	58.2	53.0	326.0	1.667	14.0	win	289.09	88.68	True	
2026-04-12	Miami Marlins	Detroit Tigers	8.36	6.5	0.47	OVER	18.8	65.8	65.8	47.0	1054.0	5.311	10.0	win	1188.55	112.77	True	
2026-04-12	Los Angeles Angels	Cincinnati Reds	8.21	8.5	0.49		-1.6	47.4	52.6	51.0	0.0	0.0	15.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-12	Pittsburgh Pirates	Chicago Cubs	7.99	12.5	0.5		-34.3	15.7	84.3	50.0	0.0	0.0	13.0	no_bet	0.0	0.0	False	line_diff_too_large
2026-04-12	San Francisco Giants	Baltimore Orioles	8.45	8.5	0.5		-0.5	49.5	50.5	50.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-13	Cleveland Guardians	St. Louis Cardinals	8.73	8.5	0.45		7.1	52.1	52.1	45.0	0.0	0.0	12.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-13	Houston Astros	Seattle Mariners	8.28	7.5	0.5		6.6	56.6	56.6	50.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-13	Washington Nationals	Pittsburgh Pirates	8.4	7.5	0.53		4.5	57.5	57.5	53.0	0.0	0.0	21.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-13	Chicago Cubs	Philadelphia Phillies	7.73	8.5	0.51		-7.9	43.1	56.9	49.0	0.0	0.0	20.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-13	Los Angeles Angels	New York Yankees	7.79	9.5	0.5	UNDER	-14.9	35.1	64.9	50.0	937.0	4.454	21.0	loss	-937.0	-100.0	True	
2026-04-13	Boston Red Sox	Minnesota Twins	8.56	7.5	0.52	OVER	7.4	59.4	59.4	52.0	462.0	2.299	19.0	win	426.46	92.31	True	
2026-04-13	New York Mets	Los Angeles Dodgers	8.21	8.5	0.54		-6.5	47.5	52.5	46.0	0.0	0.0	4.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-13	Arizona Diamondbacks	Baltimore Orioles	8.47	9.5	0.45		-4.0	41.0	59.0	55.0	0.0	0.0	16.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-13	Miami Marlins	Atlanta Braves	8.61	8.5	0.46		5.0	51.0	51.0	46.0	0.0	0.0	14.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-13	Texas Rangers	Athletics	8.41	8.5	0.5		-0.8	49.2	50.8	50.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-14	Cleveland Guardians	St. Louis Cardinals	8.88	8.5	0.55		-1.6	53.4	46.6	45.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-14	Washington Nationals	Pittsburgh Pirates	8.66	9.5	0.51		-7.6	43.4	56.6	49.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-14	Chicago Cubs	Philadelphia Phillies	8.31	10.5	0.47	UNDER	-15.2	31.8	68.2	53.0	996.0	4.853	14.0	loss	-996.0	-100.0	True	
2026-04-14	Los Angeles Angels	New York Yankees	7.8	9.5	0.48	UNDER	-12.8	35.2	64.8	52.0	782.0	4.004	8.0	win	721.85	92.31	True	
2026-04-14	Boston Red Sox	Minnesota Twins	8.64	8.5	0.47		4.2	51.2	51.2	47.0	0.0	0.0	6.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-14	Kansas City Royals	Detroit Tigers	7.43	8.5	0.47	UNDER	-6.2	40.8	59.2	53.0	402.0	1.985	3.0	win	356.49	88.68	True	
2026-04-14	San Francisco Giants	Cincinnati Reds	8.2	8.5	0.54		-6.7	47.3	52.7	46.0	0.0	0.0	3.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-14	Tampa Bay Rays	Chicago White Sox	7.63	8.5	0.46		-3.5	42.5	57.5	54.0	0.0	0.0	13.0	no_bet	0.0	0.0	False	edge_below_threshold
